name	default	mididev	midictl	global	smooth	label
post_bloom_amount	0	bcr2000	s3	1	1	bloom
post_bloom_distance	0	bcr2000	s4	1	1	bloom distance
post_bypass	0			1		post bypass
post_echo_length	0.1	bcr2000	s1	1	1	echo length
post_echo_mix	0	bcr2000	s2	1	1	echo mix
post_echo_tapbalance	.5			1	1	echo tap balance
post_stutterlength	0.3	bcr2000	s8	1		stutter length
post_stutteron	0	bcr2000	b24	1		stutter on
post_contrast	0			1	1	contrast
post_saturation	.8	bcr2000	s24	1	1	saturation
post_feedback_amount	0	bcr2000	s5	1		feedback amount
post_feedback_twist	0	bcr2000	s7	1		feedback twist
post_feedback_scale	.2	bcr2000	s6	1		feedback scale
time_rate	.5	bcr2000	s25			time rate
time_pulse_amount	.5	bcr2000	s26	1		time pulse amount
time_pulse_rate	.5	bcr2000	s27	1		time pulse rate
time_pulse_width	.5	bcr2000	s28	1		time pulse width
time_reverse	0	bcr2000	b9	1		time reverse
time_zigzag	0	bcr2000	b10	1		time zigzag
time_rangemin	0	bcr2000	s18	1	1	time range min
time_rangemax	1	bcr2000	s19	1	1	time range max
general_overlay_opacity	0	bcr2000	s29		1	overlay opacity
